frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,44.7899,,,22.1131,,,14.38,4.21
2,44.8537,,,22.1012,,,19.50,1.92
3,44.9115,,,22.0949,,,13.97,1.56
4,44.9655,,13.8349,22.0907,,8.2559,11.96,1.26
5,45.0127,,13.3923,22.0876,,8.6953,9.46,1.36
6,45.0841,,,22.0877,,,22.51,3.06
7,45.1459,,,22.0952,,,12.97,1.47
8,45.2017,,,22.1021,,,15.50,1.12
9,45.2533,,,22.1115,,,9.65,1.57
10,45.3026,17.0895,,22.1203,5.0307,,13.41,1.36
11,45.3501,,,22.1294,,,12.64,1.46
12,45.3972,15.6870,,22.1407,6.4536,,12.31,1.23
13,45.4432,15.7945,,22.1528,6.3583,,10.20,1.10
14,45.5046,16.4136,,22.1729,5.7593,,13.98,1.37
15,45.5640,16.4562,12.0429,22.2016,5.7454,10.1588,12.62,1.28
16,45.6179,16.5107,12.1720,22.2355,5.7248,10.0635,11.27,1.20
17,45.6827,16.5822,,22.2877,5.7055,,19.66,2.42
18,45.7567,17.3155,,22.3420,5.0264,,18.91,1.39
19,45.8186,16.9984,,22.3977,5.3993,,14.01,1.26
20,45.8787,16.8976,,22.4741,5.5765,,11.16,1.03
21,45.9343,16.9027,,22.5288,5.6262,,11.50,1.81
22,45.9952,17.0170,,22.6033,5.5863,,11.54,1.14
23,46.0521,17.6618,,22.6842,5.0223,,9.95,1.50
24,46.1029,18.4417,,22.7541,4.3124,,8.93,1.06
25,46.1591,17.8055,,22.8492,5.0437,,12.48,1.50
26,46.2050,,,22.9191,,,9.50,1.61
27,46.2573,,,23.0170,,,10.99,1.34
28,46.3004,18.1268,,23.0892,4.9624,,9.26,1.33
29,46.3460,,,23.1861,,,8.91,1.54
30,46.4022,,,23.2707,,,13.63,2.29
31,46.4603,19.8099,,23.3725,3.5627,,12.08,1.36
32,46.5078,20.2087,,23.4511,3.2424,,11.22,1.53
33,46.5806,20.3403,7.4666,23.5822,3.2419,16.1156,20.38,2.76
34,46.6359,,,23.6592,,,13.85,1.60
35,46.7038,,,23.7783,,,14.80,1.47
36,46.7541,20.9176,,23.8588,2.9412,,13.45,1.32
37,46.8110,21.0126,10.6765,23.9598,2.9472,13.2833,20.07,1.93
38,46.8643,21.1592,,24.0357,2.8765,,14.34,1.36
39,46.9191,21.6945,,24.1333,2.4388,,11.63,0.98
40,46.9665,21.9735,10.7244,24.2127,2.2393,13.4883,10.80,1.31
41,47.0179,21.5329,,24.2943,2.7614,,16.12,1.13
42,47.0785,21.3137,14.1667,24.4033,3.0896,10.2367,16.79,0.97
43,47.1350,22.9818,,24.5135,1.5317,,13.90,1.40
44,47.1910,23.0132,,24.6412,1.6280,,10.62,1.13
45,47.2421,22.7976,,24.7346,1.9369,,10.15,1.03
