frame,timestamp_s,obstacle_id,detection_source,cam_dist_m,lidar_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_rel_error_pct,lidar_rel_error_pct,cam_within_1m,lidar_within_1m,cam_latency_ms,lidar_latency_ms,danger_level,angle_deg,sector,match_method
0,55.1813,t2,LIDAR_ONLY,37.7239,37.7239,,,,,,,,17.39,0.92,drive,22.78,front,LIDAR_ONLY
0,55.1813,t2,LIDAR_ONLY,30.9325,30.9325,,,,,,,,17.39,0.92,drive,27.01,front,LIDAR_ONLY
0,55.5850,t13,LIDAR_ONLY,36.5200,36.5200,,,,,,,,16.06,0.85,drive,21.47,front,LIDAR_ONLY
0,55.8821,t26,LIDAR_ONLY,22.4735,22.4735,,,,,,,,11.50,1.10,drive,25.13,front,LIDAR_ONLY
0,55.8821,t26,LIDAR_ONLY,20.2796,20.2796,,,,,,,,11.50,1.10,drive,29.15,front,LIDAR_ONLY
0,56.0795,t33,LIDAR_ONLY,24.1633,24.1633,,,,,,,,10.74,0.92,drive,-24.81,front,LIDAR_ONLY
0,56.2401,t39,LIDAR_ONLY,19.9728,19.9728,,,,,,,,12.33,1.56,drive,26.06,front,LIDAR_ONLY
0,56.4334,t39,LIDAR_ONLY,20.1718,20.1718,,,,,,,,11.13,1.15,drive,24.12,front,LIDAR_ONLY
0,56.4334,t39,LIDAR_ONLY,19.9476,19.9476,,,,,,,,11.13,1.15,drive,28.21,front,LIDAR_ONLY
0,56.4334,t39,LIDAR_ONLY,20.5170,20.5170,,,,,,,,11.13,1.15,drive,20.04,front,LIDAR_ONLY
0,56.4877,t39,LIDAR_ONLY,21.1063,21.1063,,,,,,,,10.30,1.15,drive,22.09,front,LIDAR_ONLY
0,56.6917,t39,LIDAR_ONLY,21.3914,21.3914,,,,,,,,18.11,1.69,drive,27.36,front,LIDAR_ONLY
0,56.6917,t39,LIDAR_ONLY,21.6413,21.6413,,,,,,,,18.11,1.69,drive,23.22,front,LIDAR_ONLY
0,57.1903,t67,LIDAR_ONLY,18.7579,18.7579,,,,,,,,11.43,1.57,drive,25.10,front,LIDAR_ONLY
0,57.1903,t67,LIDAR_ONLY,17.0892,17.0892,,,,,,,,11.43,1.57,cautious,29.26,front,LIDAR_ONLY
0,57.4810,t76,LIDAR_ONLY,28.8648,28.8648,,,,,,,,9.69,0.93,drive,19.03,front,LIDAR_ONLY
0,57.6955,t76,LIDAR_ONLY,24.6287,24.6287,,,,,,,,17.23,3.23,drive,22.59,front,LIDAR_ONLY
0,57.9389,t90,LIDAR_ONLY,17.1587,17.1587,,,,,,,,10.08,1.23,cautious,27.94,front,LIDAR_ONLY
0,58.1319,t90,LIDAR_ONLY,18.3362,18.3362,,,,,,,,14.23,0.93,cautious,19.67,front,LIDAR_ONLY
0,58.1319,t90,LIDAR_ONLY,18.8658,18.8658,,,,,,,,14.23,0.93,cautious,28.05,front,LIDAR_ONLY
0,58.4359,t109,LIDAR_ONLY,20.7829,20.7829,,,,,,,,11.87,1.29,drive,24.79,front,LIDAR_ONLY
0,58.4359,t109,LIDAR_ONLY,19.0602,19.0602,,,,,,,,11.87,1.29,drive,28.95,front,LIDAR_ONLY
0,58.8946,t123,LIDAR_ONLY,22.7819,22.7819,,,,,,,,19.60,1.68,drive,23.57,front,LIDAR_ONLY
0,58.8946,t123,LIDAR_ONLY,20.2257,20.2257,,,,,,,,19.60,1.68,drive,27.73,front,LIDAR_ONLY
0,58.8946,t123,LIDAR_ONLY,21.2793,21.2793,,,,,,,,19.60,1.68,drive,19.41,front,LIDAR_ONLY
0,59.0829,t123,LIDAR_ONLY,21.9892,21.9892,,,,,,,,8.32,0.83,drive,22.99,front,LIDAR_ONLY
0,59.1428,t123,LIDAR_ONLY,22.1505,22.1505,,,,,,,,11.41,1.81,drive,28.09,front,LIDAR_ONLY
0,59.1428,t123,LIDAR_ONLY,22.6433,22.6433,,,,,,,,11.41,1.81,drive,19.93,front,LIDAR_ONLY
0,59.5714,cam_0,CAM_ONLY,40.8427,,44.1658,3.3231,,7.5241,,0,,15.17,1.03,safe,4.56,,CAMERA_ONLY
0,59.6293,cam_0,CAM_ONLY,42.5202,,44.1035,1.5833,,3.5901,,0,,12.54,0.82,safe,4.87,,CAMERA_ONLY
0,59.6865,t147,LIDAR_ONLY,23.9422,23.9422,,,,,,,,12.05,1.29,drive,23.58,front,LIDAR_ONLY
0,59.7456,cam_0,CAM_ONLY,42.8904,,43.9312,1.0408,,2.3691,,0,,17.05,1.52,safe,5.67,,CAMERA_ONLY
0,59.9368,t156,LIDAR_ONLY,22.1047,22.1047,,,,,,,,8.58,0.83,drive,27.33,front,LIDAR_ONLY
0,59.9960,t156,LIDAR_ONLY,21.4465,21.4465,,,,,,,,14.16,3.01,drive,28.17,front,LIDAR_ONLY
0,60.1840,t156,LIDAR_ONLY,21.2300,21.2300,,,,,,,,11.52,0.99,drive,27.75,front,LIDAR_ONLY
0,60.1840,t156,LIDAR_ONLY,21.5666,21.5666,,,,,,,,11.52,0.99,drive,23.71,front,LIDAR_ONLY
0,60.1840,t168,LIDAR_ONLY,21.0015,21.0015,,,,,,,,11.52,0.99,drive,-28.80,front,LIDAR_ONLY
0,60.3889,cam_1,CAM_ONLY,42.8586,,43.3213,0.4628,,1.0682,,1,,12.30,1.40,safe,5.93,,CAMERA_ONLY
0,60.5888,t180,LIDAR_ONLY,19.8674,19.8674,,,,,,,,15.99,1.36,drive,27.09,front,LIDAR_ONLY
0,60.7786,t180,LIDAR_ONLY,19.1318,19.1318,,,,,,,,11.52,0.90,drive,28.18,front,LIDAR_ONLY
0,60.9863,t180,LIDAR_ONLY,18.4534,18.4534,,,,,,,,13.04,1.06,drive,29.63,front,LIDAR_ONLY
0,60.9863,t180,LIDAR_ONLY,18.6455,18.6455,,,,,,,,13.04,1.06,drive,25.43,front,LIDAR_ONLY
0,61.3868,t195,LIDAR_ONLY,20.2285,20.2285,,,,,,,,12.89,2.74,drive,27.40,front,LIDAR_ONLY
0,61.9388,cam_2,CAM_ONLY,39.2608,,42.2070,2.9462,,6.9803,,0,,10.37,1.31,safe,5.09,,CAMERA_ONLY
0,61.9388,t210,LIDAR_ONLY,19.2056,19.2056,,,,,,,,10.37,1.31,drive,28.60,front,LIDAR_ONLY
0,62.0063,cam_2,CAM_ONLY,36.0253,,42.1531,6.1278,,14.5371,,0,,15.67,1.03,slowdown,5.00,,CAMERA_ONLY
0,62.0804,cam_2,CAM_ONLY,35.9002,,42.1211,6.2209,,14.7690,,0,,8.82,0.82,slowdown,5.00,,CAMERA_ONLY
0,62.1381,t210,LIDAR_ONLY,19.2964,19.2964,,,,,,,,10.68,1.13,drive,28.40,front,LIDAR_ONLY
0,62.1381,t212,LIDAR_ONLY,28.1416,28.1416,27.7390,0.4026,0.4026,1.4514,1.4514,1,1,10.68,1.13,drive,0.15,front,LIDAR_ONLY
0,62.3114,cam_2,CAM_ONLY,36.3983,,41.8651,5.4668,,13.0581,,0,,14.00,0.93,safe,5.13,,CAMERA_ONLY
0,62.4325,t222,LIDAR_ONLY,22.6666,22.6666,,,,,,,,11.30,0.89,drive,25.78,front,LIDAR_ONLY
0,62.4325,t222,LIDAR_ONLY,20.7737,20.7737,,,,,,,,11.30,0.89,drive,29.80,front,LIDAR_ONLY
0,62.5671,cam_2,CAM_ONLY,38.2011,,41.6994,3.4983,,8.3893,,0,,18.31,0.91,safe,4.47,,CAMERA_ONLY
0,62.6250,cam_2,CAM_ONLY,40.8900,,41.6570,0.7670,,1.8412,,1,,11.21,0.97,safe,4.29,,CAMERA_ONLY
0,62.6838,cam_2,CAM_ONLY,40.5252,,41.6086,1.0835,,2.6040,,0,,12.74,0.70,safe,4.29,,CAMERA_ONLY
0,62.7417,cam_2,CAM_ONLY,38.8034,,41.5479,2.7444,,6.6055,,0,,10.63,1.31,safe,4.51,,CAMERA_ONLY
0,62.7417,t235,LIDAR_ONLY,19.1806,19.1806,,,,,,,,10.63,1.31,drive,28.95,front,LIDAR_ONLY
0,62.7995,cam_2,CAM_ONLY,37.3012,,41.4732,4.1720,,10.0596,,0,,12.09,1.58,safe,4.82,,CAMERA_ONLY
0,62.9795,t242,LIDAR_ONLY,31.5963,31.5963,,,,,,,,14.78,0.96,drive,-14.57,front,LIDAR_ONLY
0,63.2853,t259,LIDAR_ONLY,19.1217,19.1217,,,,,,,,13.61,1.25,drive,29.41,front,LIDAR_ONLY
0,63.2853,t261,LIDAR_ONLY,26.7723,26.7723,26.5162,0.2561,0.2561,0.9660,0.9660,1,1,13.61,1.25,drive,1.27,front,LIDAR_ONLY
0,63.5938,t268,LIDAR_ONLY,26.7633,26.7633,,,,,,,,14.54,1.69,drive,23.57,front,LIDAR_ONLY
0,64.1860,t284,LIDAR_ONLY,18.1572,18.1572,,,,,,,,11.77,0.80,cautious,29.63,front,LIDAR_ONLY
0,64.7325,t305,LIDAR_ONLY,25.4980,25.4980,25.2357,0.2624,0.2624,1.0397,1.0397,1,1,13.82,1.00,drive,0.75,front,LIDAR_ONLY
0,64.7325,t306,LIDAR_ONLY,18.7674,18.7674,,,,,,,,13.82,1.00,cautious,29.92,front,LIDAR_ONLY
0,65.0388,t315,LIDAR_ONLY,19.8904,19.8904,,,,,,,,13.18,1.33,drive,28.17,front,LIDAR_ONLY
0,65.2246,cam_3,CAM_ONLY,35.4496,,40.2587,4.8091,,11.9456,,0,,16.66,0.87,safe,2.15,,CAMERA_ONLY
0,65.2856,cam_3,CAM_ONLY,34.0177,,40.2777,6.2599,,15.5419,,0,,13.88,1.04,slowdown,2.15,,CAMERA_ONLY
0,65.4830,t333,LIDAR_ONLY,27.6921,27.6921,,,,,,,,15.51,0.96,drive,23.48,front,LIDAR_ONLY
0,65.4830,t333,LIDAR_ONLY,23.6364,23.6364,,,,,,,,15.51,0.96,drive,27.65,front,LIDAR_ONLY
0,65.5413,t333,LIDAR_ONLY,22.5393,22.5393,,,,,,,,15.31,1.49,drive,28.93,front,LIDAR_ONLY
0,65.5413,t333,LIDAR_ONLY,22.6970,22.6970,,,,,,,,15.31,1.49,drive,24.75,front,LIDAR_ONLY
0,65.6095,cam_3,CAM_ONLY,39.3369,,40.3587,1.0219,,2.5319,,0,,19.95,0.91,safe,2.15,,CAMERA_ONLY
0,65.7859,cam_3,CAM_ONLY,39.0507,,40.4217,1.3711,,3.3919,,0,,11.06,1.01,safe,1.48,,CAMERA_ONLY
0,65.7859,t343,LIDAR_ONLY,22.3688,22.3688,,,,,,,,11.06,1.01,drive,25.84,front,LIDAR_ONLY
