frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,lidar_snap_dist_m,gt_dist_m,cam_error_m,lidar_error_m,lidar_snap_error_m,cam_latency_ms,lidar_latency_ms
1,49.0463,,13.1400,,4.8487,,8.2912,,12.78,6.42
2,49.1120,,,,5.3425,,,,11.42,1.11
3,49.1644,,,,5.7527,,,,11.66,1.29
4,49.2329,,12.2582,,6.2824,,5.9758,,20.78,1.02
5,49.2966,,,,6.8651,,,,13.11,1.76
6,49.3586,,,,7.3907,,,,14.58,1.12
7,49.4188,,,,8.0161,,,,13.52,1.57
8,49.4804,,,,8.4945,,,,16.22,0.78
9,49.5420,,,,9.1060,,,,14.08,1.02
10,49.6084,,,,9.7141,,,,19.83,0.85
11,49.6679,,,,10.3607,,,,9.59,1.78
12,49.7314,,12.3160,,10.9690,,1.3469,,17.97,1.24
13,49.7929,,12.8776,,11.5826,,1.2950,,16.26,1.35
14,49.8493,,,,12.1308,,,,9.26,1.24
15,49.9011,,,,12.6350,,,,9.25,0.95
16,49.9588,,,,13.1679,,,,11.64,0.96
17,50.0194,,,43.1471,13.7717,,,29.3754,8.95,0.82
18,50.0838,,11.0179,,14.3519,,3.3340,,16.45,2.34
19,50.1552,,,,14.8312,,,,16.18,1.27
20,50.2335,,11.7715,,15.4307,,3.6592,,12.03,0.84
21,50.2913,,,,15.9154,,,,12.83,1.11
22,50.3534,,,,16.4196,,,,11.54,0.89
23,50.4087,,,,16.8229,,,,12.86,0.91
24,50.4648,,,,17.2990,,,,9.70,0.88
25,50.5586,27.2917,,,18.0391,9.2526,,,11.70,1.23
26,50.6247,,,,18.4114,,,,22.77,1.13
27,50.6832,,13.5157,41.0336,18.8353,,5.3196,22.1983,13.36,1.02
28,50.7439,,,,19.2844,,,,11.90,1.09
29,50.8018,,,,19.7018,,,,11.80,1.13
30,50.8577,,,,20.0682,,,,13.87,0.87
31,50.9226,,,,20.4977,,,,14.57,1.12
32,50.9985,,,,21.0238,,,,17.65,1.29
33,51.0621,,,,21.4378,,,,14.48,0.92
34,51.1243,,,,21.8454,,,,14.73,0.90
35,51.1821,26.1014,10.6352,39.3312,22.2029,3.8985,11.5677,17.1283,9.66,1.03
