frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,29.8478,,,47.4615,,,9.21,1.16
2,29.9066,,,47.4615,,,10.24,1.38
3,29.9697,,,47.4615,,,15.35,1.29
4,30.0295,,,47.4615,,,11.77,0.86
5,30.0903,,,10.7203,,,12.93,1.50
6,30.1515,,,10.9979,,,11.21,0.97
7,30.2106,,,11.3169,,,11.63,0.93
8,30.2720,,,11.7449,,,11.19,1.26
9,30.3257,,,12.3134,,,8.81,1.37
10,30.3961,,,12.9860,,,16.25,1.10
11,30.4666,,,13.7432,,,14.21,0.86
12,30.5274,,,14.5219,,,11.28,1.25
13,30.6186,,,15.8313,,,13.71,31.56
14,30.6687,,,16.4376,,,11.58,1.05
15,30.7291,,,17.2358,,,8.97,1.34
16,30.7960,,11.2571,18.1942,,6.9372,13.11,1.42
17,30.8620,45.1623,,19.1876,25.9747,,17.37,1.97
18,30.9229,43.0153,,19.9615,23.0538,,14.22,1.09
19,30.9764,,,20.8867,,,10.88,1.04
20,31.0325,,21.0371,21.6969,,0.6598,11.68,1.19
21,31.0854,,13.5088,22.3154,,8.8065,9.83,1.10
22,31.1516,44.0399,,23.3058,20.7340,,17.00,1.24
23,31.2063,,,24.2086,,,10.76,1.44
24,31.2654,,,24.9547,,,15.01,0.96
25,31.3268,,,25.8354,,,14.98,1.04
26,31.3795,,,26.6291,,,12.17,0.87
27,31.4533,42.6925,,27.8522,14.8403,,19.79,1.75
28,31.5142,42.5178,,7.0685,35.4493,,20.11,1.83
29,31.5746,43.2831,,7.3059,35.9772,,11.40,1.16
30,31.6311,,25.6981,7.7203,,17.9778,11.10,0.92
31,31.6867,,20.6325,8.1871,,12.4454,11.29,0.92
32,31.7488,,10.4213,8.8217,,1.5996,18.65,2.65
33,31.8171,,,9.8699,,,21.08,1.09
34,31.8823,,11.1051,10.7756,,0.3295,20.16,1.04
35,31.9458,,,11.6766,,,10.32,1.27
36,32.0024,,,12.6242,,,15.64,1.22
37,32.0644,,,13.6609,,,16.07,0.97
38,32.1284,,,14.7552,,,12.67,1.22
39,32.1927,41.4217,9.4733,16.0025,25.4192,6.5292,19.39,1.33
40,32.2645,,,17.2452,,,16.58,1.39
41,32.3249,40.0260,,18.4457,21.5803,,12.53,2.47
42,32.3862,38.7648,11.9997,19.5548,19.2101,7.5551,10.38,0.95
43,32.4410,,9.4819,20.6430,,11.1611,10.64,1.30
44,32.4968,42.5857,,21.6934,20.8922,,9.17,1.13
45,32.5635,41.7265,,22.8068,18.9197,,17.33,0.86
46,32.6244,38.4305,,23.9737,14.4569,,13.33,0.98
47,32.6793,39.9199,,24.9930,14.9269,,9.63,1.32
48,32.7435,38.4113,15.6521,25.9096,12.5017,10.2575,10.22,0.87
49,32.8110,40.8752,,27.3737,13.5015,,19.09,1.32
50,32.8691,40.9336,,28.2622,12.6713,,13.09,0.98
51,32.9260,38.3940,,29.1171,9.2769,,10.79,1.04
52,32.9913,38.0113,9.5193,30.3019,7.7094,20.7826,15.06,1.23
53,33.0685,37.6458,,31.5835,6.0623,,17.46,0.92
54,33.1213,36.8919,,32.4781,4.4139,,10.34,1.30
55,33.1758,36.7066,,33.3623,3.3444,,10.04,1.11
56,33.2473,36.3589,9.8601,34.5177,1.8412,24.6576,15.82,1.35
57,33.3143,36.3428,,35.7671,0.5758,,15.85,2.41
58,33.3746,35.7480,,36.4416,0.6936,,9.54,1.04
59,33.4491,35.2459,,36.1143,0.8685,,20.31,1.27
60,33.5163,33.7415,,35.8035,2.0620,,19.05,0.92
61,33.5890,32.4842,10.4639,35.4778,2.9936,25.0138,17.27,0.95
62,33.6733,30.9755,,35.1211,4.1456,,19.46,0.82
63,33.7340,30.7141,12.3755,34.8143,4.1002,22.4389,13.53,0.91
64,33.7917,31.2494,10.6184,34.5581,3.3087,23.9397,11.44,1.25
65,33.8471,32.5291,,34.3365,1.8074,,12.28,1.13
66,33.9202,,,34.0802,,,21.15,1.38
67,33.9897,33.8414,10.8680,33.7859,0.0555,22.9179,19.74,1.03
68,34.0628,33.4844,,33.4913,0.0070,,17.82,1.37
69,34.1263,32.8467,,33.2495,0.4028,,14.86,0.96
70,34.1932,31.6707,12.1906,32.9961,1.3254,20.8055,13.92,1.26
71,34.2617,30.9569,,32.7067,1.7498,,19.33,1.73
72,34.3217,29.9266,,32.4909,2.5643,,11.87,1.22
73,34.3810,23.0561,,32.2634,9.2072,,10.01,0.88
